qtrMinute,Minute (bin),Minute,Number of Records,Qtr,Season,Touchdowns (copy),Touchdowns
Q4 - 11,9,11,1,Quarter 4,2015,30,30
Q4 - 12,12,12,1,Quarter 4,2015,26,26
Q4 - 13,12,13,1,Quarter 4,2015,34,34
Q4 - 14,12,14,1,Quarter 4,2015,39,39
Q4 - 15,15,15,1,Quarter 4,2015,37,37
Q4 - 0,0,0,1,Quarter 4,2016,15,15
Q4 - 1,0,1,1,Quarter 4,2016,18,18
Q4 - 2,0,2,1,Quarter 4,2016,16,16
Q4 - 3,3,3,1,Quarter 4,2016,22,22
Q4 - 4,3,4,1,Quarter 4,2016,21,21
Q4 - 5,3,5,1,Quarter 4,2016,23,23
Q4 - 6,6,6,1,Quarter 4,2016,23,23
Q4 - 7,6,7,1,Quarter 4,2016,23,23
Q4 - 8,6,8,1,Quarter 4,2016,17,17
Q4 - 9,9,9,1,Quarter 4,2016,24,24
Q4 - 10,9,10,1,Quarter 4,2016,23,23
Q4 - 11,9,11,1,Quarter 4,2016,26,26
Q4 - 12,12,12,1,Quarter 4,2016,27,27
Q4 - 13,12,13,1,Quarter 4,2016,44,44
Q4 - 14,12,14,1,Quarter 4,2016,30,30
Q4 - 15,15,15,1,Quarter 4,2016,34,34
