qtrMinute,Minute (bin),Minute,Number of Records,Qtr,Season,Touchdowns (copy),Touchdowns
Q1 - 2,0,2,1,Quarter 1,2015,4,4
Q1 - 3,3,3,1,Quarter 1,2015,12,12
Q1 - 4,3,4,1,Quarter 1,2015,16,16
Q1 - 5,3,5,1,Quarter 1,2015,22,22
Q1 - 6,6,6,1,Quarter 1,2015,25,25
Q1 - 7,6,7,1,Quarter 1,2015,15,15
Q1 - 8,6,8,1,Quarter 1,2015,19,19
Q1 - 9,9,9,1,Quarter 1,2015,17,17
Q1 - 10,9,10,1,Quarter 1,2015,18,18
Q1 - 11,9,11,1,Quarter 1,2015,16,16
Q1 - 12,12,12,1,Quarter 1,2015,22,22
Q1 - 13,12,13,1,Quarter 1,2015,16,16
Q1 - 14,12,14,1,Quarter 1,2015,24,24
Q1 - 15,15,15,1,Quarter 1,2015,25,25
Q1 - 0,0,0,1,Quarter 1,2016,1,1
Q1 - 1,0,1,1,Quarter 1,2016,3,3
Q1 - 2,0,2,1,Quarter 1,2016,5,5
Q1 - 3,3,3,1,Quarter 1,2016,12,12
Q1 - 4,3,4,1,Quarter 1,2016,20,20
Q1 - 5,3,5,1,Quarter 1,2016,30,30
Q1 - 6,6,6,1,Quarter 1,2016,26,26
Q1 - 7,6,7,1,Quarter 1,2016,15,15
Q1 - 8,6,8,1,Quarter 1,2016,22,22
Q1 - 9,9,9,1,Quarter 1,2016,22,22
Q1 - 10,9,10,1,Quarter 1,2016,19,19
Q1 - 11,9,11,1,Quarter 1,2016,22,22
Q1 - 12,12,12,1,Quarter 1,2016,18,18
Q1 - 13,12,13,1,Quarter 1,2016,15,15
Q1 - 14,12,14,1,Quarter 1,2016,24,24
Q1 - 15,15,15,1,Quarter 1,2016,22,22
Q2 - 0,0,0,1,Quarter 2,2009,15,15
Q2 - 1,0,1,1,Quarter 2,2009,12,12
Q2 - 2,0,2,1,Quarter 2,2009,13,13
Q2 - 3,3,3,1,Quarter 2,2009,18,18
Q2 - 4,3,4,1,Quarter 2,2009,25,25
Q2 - 5,3,5,1,Quarter 2,2009,32,32
Q2 - 6,6,6,1,Quarter 2,2009,18,18
Q2 - 7,6,7,1,Quarter 2,2009,18,18
